City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,mermoz boabab,14.7065,-17.4758,80.38,89,75,13.8,SN,1728599505
223,lebu,-37.6167,-73.65,53.56,97,53,8.16,CL,1728599506
224,port blair,11.6667,92.75,78.84,94,20,2.3,IN,1728599508
225,ocean shores,46.9737,-124.1563,65.44,67,0,9.22,US,1728599414
226,urangan,-25.3,152.9,70.16,68,53,16.46,AU,1728599510
227,novyy urengoy,66.0833,76.6333,26.42,89,98,14.85,RU,1728599511
228,viljandi,58.3639,25.59,60.91,74,84,13.58,EE,1728599512
229,new norfolk,-42.7826,147.0587,55.92,54,57,12.33,AU,1728599513
230,broken hill,-31.95,141.4333,58.86,41,57,20.45,AU,1728599514
231,prince rupert,54.3161,-130.3201,51.89,78,20,24.16,CA,1728599516
232,santa marta de ortigueira,43.6833,-7.85,53.26,100,43,4.5,ES,1728599517
233,bereznik,62.8551,42.7072,32.88,96,100,12.62,RU,1728599518
234,west island,-12.1568,96.8225,78.78,83,20,12.66,CC,1728599519
235,amos,48.5669,-78.1162,43.72,91,100,4.16,CA,1728599520
236,le blanc,46.6667,1.1667,49.12,97,25,5.06,FR,1728599521
237,siluko,6.5386,5.1609,74.16,98,40,2.46,NG,1728599523
238,francisco i. madero,29.7059,-107.8043,76.23,19,51,5.14,MX,1728599524
239,zhigalovo,54.8097,105.1578,27.52,91,89,3.53,RU,1728599525
240,boguchany,58.3814,97.4531,22.26,83,63,5.77,RU,1728599526
241,tazacorte,28.629,-17.9293,74.37,94,0,3.44,ES,1728599527
242,muang phonsavan,19.45,103.2167,58.57,99,54,2.68,LA,1728599528
243,taro,-8.3862,115.28,71.62,85,91,0.65,ID,1728599529
244,touros,-5.1989,-35.4608,78.6,69,40,15.26,BR,1728599531
245,ta`u,-14.2336,-169.5144,80.56,78,99,19.37,AS,1728599532
246,timbuktu,16.7735,-3.0074,97.11,17,93,9.4,ML,1728599533
247,kijang,35.2442,129.2139,53.33,72,0,4.79,KR,1728599534
248,concepcion,-36.827,-73.0498,55.2,82,75,8.05,CL,1728599412
249,save,8.0425,2.486,74.41,95,16,4.56,BJ,1728599536
250,kilindoni,-7.9139,39.6668,76.42,80,0,8.97,TZ,1728599538
251,ust'-kulom,61.6864,53.6902,25.47,70,62,6.87,RU,1728599539
252,serdar,38.9764,56.2757,63.36,61,19,5.48,TM,1728599540
253,xiazhuang,34.9161,118.6389,60.73,60,47,2.59,CN,1728599541
254,taitung city,22.7583,121.1444,73.67,83,75,6.91,TW,1728599542
255,palmer,42.1584,-72.3287,53.22,55,34,11.32,US,1728599544
256,villa gesell,-37.2639,-56.973,56.84,91,35,11.59,AR,1728599545
257,novaya igirma,57.1334,103.9112,25.23,91,98,7.56,RU,1728599546
258,izhmorskiy,56.194,86.6414,24.73,69,94,6.62,RU,1728599547
259,semnan,35.5729,53.3971,67.59,26,0,3.38,IR,1728599548
260,neufchatel-en-bray,49.7332,1.4396,46.4,89,100,3.06,FR,1728599549
261,leiyang,26.4024,112.8591,64.87,76,13,2.06,CN,1728599551
262,tazovsky,67.4667,78.7,25.9,89,78,16.06,RU,1728599552
263,noormarkku,61.5927,21.8685,56.98,100,100,19.57,FI,1728599553
264,omuo-ekiti,7.7583,5.7223,71.42,92,6,2.37,NG,1728599554
265,howrah,22.5892,88.3103,82.4,89,40,4.61,IN,1728599555
266,zungeru,9.8128,6.1558,75.09,93,22,2.42,NG,1728599556
267,nato,13.6105,123.5356,79.92,93,69,0.16,PH,1728599557
268,natal,-5.795,-35.2094,79.45,73,75,12.66,BR,1728599362
269,boda,4.3189,17.4695,69.24,94,13,2.89,CF,1728599560
270,enewetak,11.3474,162.3373,83.77,75,99,9.46,MH,1728599561
271,olyokminsk,60.3736,120.4264,27.41,90,86,6.22,RU,1728599562
272,embi,48.8264,58.1442,44.96,68,64,13.38,KZ,1728599563
273,mogok,22.9167,96.5,60.42,100,42,3.31,MM,1728599564
274,xichang,27.8964,102.2634,56.5,96,100,2.3,CN,1728599566
275,tan-tan,28.438,-11.1032,69.21,89,0,5.03,MA,1728599568
276,namibe,-15.1961,12.1522,67.12,81,11,3.09,AO,1728599569
277,tocache,-8.1842,-76.5125,72.66,95,91,1.14,PE,1728599570
278,porto real,-22.4197,-44.2903,69.75,92,100,5.14,BR,1728599573
279,mahalapye,-23.1041,26.8142,72.46,33,17,10.09,BW,1728599574
280,san patricio,28.017,-97.5169,89.55,38,0,10.78,US,1728599464
281,molteno,-31.3968,26.3625,65.62,21,69,6.53,ZA,1728599576
282,chanika,-5.4167,38.0167,66.79,89,58,5.03,TZ,1728599577
283,ponta delgada,37.7333,-25.6667,68.72,77,40,8.05,PT,1728599580
284,mejit,10.2753,170.8646,83.14,75,79,12.12,MH,1728599581
285,flitwick,52.0034,-0.4947,39.69,89,22,2.95,GB,1728599582
286,nikolayevsk-on-amure,53.1406,140.73,46.8,78,100,6.62,RU,1728599583
287,santa rosalia,27.3167,-112.2833,86.85,57,0,7.58,MX,1728599585
288,sitka,57.0531,-135.33,46.29,76,100,9.22,US,1728599416
289,bukoba,-1.3317,31.8122,66.27,84,10,6.51,TZ,1728599587
290,hengchun,22.0042,120.7439,76.75,79,85,16.15,TW,1728599588
291,kirkwood,38.5834,-90.4068,80.71,42,0,3.44,US,1728599589
292,galliano,29.4422,-90.2992,82.4,39,0,4.61,US,1728599372
293,la libertad,-2.2333,-80.9,73.06,83,75,12.66,EC,1728599591
294,tiflet,33.8947,-6.3065,65.84,75,14,2.95,MA,1728599593
295,trashi yangtse,27.6116,91.498,56.08,91,82,4.25,BT,1728599594
296,saipan,15.1355,145.701,81.3,89,100,5.75,MP,1728599595
297,chonchi,-42.6128,-73.8092,44.2,86,85,2.28,CL,1728599596
298,lihue,21.9789,-159.3672,83.79,65,75,14.97,US,1728599597
299,flying fish cove,-10.4217,105.6791,78.48,88,75,11.5,CX,1728599598
300,weno,7.4515,151.8468,85.95,79,100,5.75,FM,1728599600
301,egersund,58.4513,5.9997,47.8,67,77,26.26,NO,1728599601
302,saint-philippe,-21.3585,55.7679,70.2,84,49,14.74,RE,1728599602
303,mongo,12.1844,18.693,79.72,64,24,4.52,TD,1728599603
304,ishigaki,24.3448,124.1572,75.33,78,75,8.05,JP,1728599604
305,al bawiti,28.3492,28.8659,74.55,50,0,5.1,EG,1728599605
306,sao jose da coroa grande,-8.8978,-35.1478,75.65,79,36,9.82,BR,1728599606
307,sinabang,2.4803,96.3801,75.47,96,100,4.36,ID,1728599609
308,groningen,53.25,6.75,46.04,84,100,6.96,NL,1728599563
309,newport,51.5877,-2.9984,46.51,83,48,6.73,GB,1728599583
